AwardID,AwardTitle,Startdate,Enddate,AwardAmount,Type,Investigators,Institutions
1400565,Integrating Sustainability Through Technical Education,7/1/14,6/30/17,199523,Standard Grant,Laura Cotner;Amy Murphy;Gregory Pakieser;,Joliet Junior College
1400567,"""Gamified"" Digital Forensics Course Modules for Undergraduates",9/1/14,8/31/17,240875,Standard Grant,Alicia McNett;Yin Pan;Sumita Mishra;Pamela McCarthy;,Rochester Institute of Tech
1400570,Manufacturing Associate Degree Education in Northwestern Connecticut,8/1/14,7/31/17,199960,Standard Grant,Sharon Gusky;Tara Holmberg;LAWRENCE POMERLEAU;,Northwestern Connecticut Community College
1400571,Partnership for Advanced Career Education in Mechatronics Engineering (PACE ME),8/15/14,7/31/17,787849,Standard Grant,Frederick Deen;Daniel Horine;,Virginia Western Community College
1400575,"Technicians in Energy, Advanced Manufacturing, and Supply Chain Technology (TEAMS) Project",9/15/14,8/31/17,642103,Standard Grant,Ronald Logreco;Gretchen Mullin-Sawicki;,Community College of Allegheny County Allegheny Campus
1400583,CCBC Generating Excitement and Training for Engineering and Technology (GET ET),7/15/14,6/30/17,755882,Standard Grant,Laura LeMire;Tara Ebersole;,"Community College of Baltimore County, Essex"
1400588,Nonlinear and noncommutative perspectives on Banach space theory,6/1/14,5/31/17,91361,Standard Grant,Javier Chavez-Dominguez;,University of Texas at Austin
1400593,Center for Advanced Automotive Technology,8/1/14,7/31/17,1328553,Continuing grant,Chih-Ping Yeh;Gene Liao;Joseph Petrosky;Bob Feldmaier;Scott Palmer;,Macomb Community College
1400596,Charge Transfer as a Probe of the Permeability of Organic Adlayers on Colloidal Semiconductor Quantum Dots,8/1/14,7/31/17,361567,Standard Grant,Emily Weiss;,Northwestern University
1400597,Sustainable Agriculture and Green Energy Project,6/15/14,5/31/16,199772,Standard Grant,Teresa Jones;Abrah Dresdale;Anthony Reiber;,Greenfield Community College
1400605,"Conference Proposal: Support attendance to the 2014 - 26th International Ornithological Congress in Tokyo, Japan",1/1/14,12/31/14,13000,Standard Grant,Stephan Schoech;,University of Memphis
1400610,Mechanical and Manufacturing Technologies for Energy and Sustainability,8/1/14,7/31/17,899062,Standard Grant,Thomas Filburn;John Birch;Judith Resnick;Eric Flynn;Mark Vesligaj;,CBIA Education Foundation
1400616,NSF NPGI Postdoctoral Fellowship in Biology FY 2014,7/1/14,6/30/17,216000,Fellowship,Natalie Nannas;,Nannas Natalie J
1400618,In-Situ Observation and Modelling of Friction and Wear Processes at the Nanoscale,6/1/14,5/31/17,400000,Standard Grant,Laurence Marks;,Northwestern University
1400619,National Resource Center for Materials Technology Education (MatEdU),8/15/14,7/31/18,1600000,Standard Grant,Thomas Stoebe;Imelda Cossette;Frank Cox;,Edmonds Community College
